result,home_elo,away_elo,home_recent_goals_scored_home,home_recent_goals_scored_away,home_recent_goals_conceded_home,home_recent_goals_conceded_away,home_recent_home_games_won,home_recent_home_games_lost,home_recent_away_games_won,home_recent_away_games_lost,away_recent_goals_scored_home,away_recent_goals_scored_away,away_recent_goals_conceded_home,away_recent_goals_conceded_away,away_recent_home_games_won,away_recent_home_games_lost,away_recent_away_games_won,away_recent_away_games_lost
H,1683.35192871,1741.84326172,6,5,7,3,1,4,2,2,8,4,3,6,3,1,1,3
H,1633.20776367,1934.61328125,7,4,4,10,2,2,1,4,14,10,5,4,5,0,2,2
D,1667.84057617,1891.28381348,8,5,3,5,3,1,1,3,6,6,1,5,4,1,1,3
A,1768.65576172,1873.21923828,5,6,5,4,2,2,2,3,10,9,4,4,3,2,3,1
A,1640.2232666,1756.87939453,6,1,6,8,2,2,0,5,8,7,6,6,1,3,2,3
D,1586.8807373,1589.66430664,3,4,5,10,2,2,1,4,5,5,4,7,2,2,1,4
H,1681.85864258,1593.27624512,6,7,6,7,3,1,2,3,5,3,6,8,1,3,1,3
A,1663.32397461,1664.6394043,6,0,3,6,3,2,0,4,4,2,1,7,2,3,0,4
A,1668.48815918,1647.30163574,9,5,4,5,3,2,1,3,3,6,7,9,0,5,2,2
A,1907.72570801,1698.96179199,14,11,5,6,5,0,2,3,11,5,9,3,2,4,2,2
A,1593.3293457,1631.25744629,5,6,4,8,2,2,1,5,6,1,9,8,2,3,0,5
H,1769.93408203,1587.30456543,8,10,6,6,1,3,3,3,4,4,6,10,2,3,1,4
H,1886.73864746,1690.1875,10,10,4,4,3,2,4,1,9,7,7,7,4,1,2,3
D,1896.73242188,1655.75817871,6,7,1,6,4,1,1,4,6,0,4,6,3,3,0,4
D,1685.06201172,1763.81933594,9,4,2,4,4,1,1,4,5,6,6,4,2,3,2,3
H,1676.29394531,1664.13195801,4,3,1,7,2,3,1,4,9,5,5,5,3,3,1,3
A,1663.24145508,1648.95715332,3,7,7,9,0,5,3,2,9,4,5,10,3,2,1,4
H,1575.94384766,1582.77502441,5,6,6,6,2,3,1,4,6,4,7,11,1,4,1,4
H,1873.85021973,1648.21118164,12,9,5,4,4,2,3,1,3,7,8,5,0,6,3,1
H,1864.26318359,1680.03942871,6,7,2,6,3,2,1,4,8,3,3,7,3,2,1,4
A,1577.97155762,1638.1427002,4,4,6,11,2,3,1,4,6,3,9,5,2,3,1,4
D,1704.31616211,1657.50170898,11,7,9,4,2,3,3,2,6,1,3,7,3,2,0,5
A,1663.56140137,1882.77978516,5,7,4,9,2,3,1,4,13,11,7,6,4,1,2,3
A,1759.76599121,1653.48706055,2,8,6,6,1,3,2,4,7,5,3,10,3,1,2,4
D,1682.29663086,1768.76672363,9,6,7,7,4,1,2,3,10,7,6,4,2,3,2,3
H,1742.78479004,1680.35339355,10,6,4,11,4,1,1,4,11,4,4,4,4,2,1,3
H,1886.96044922,1749.95544434,13,10,7,4,4,1,3,2,8,6,4,11,4,1,1,4
H,1660.58374023,1659.3807373,6,1,3,6,3,2,0,5,5,5,5,7,2,4,1,3
D,1573.26013184,1569.98486328,6,4,7,10,1,4,1,4,4,4,5,11,2,3,1,4
H,1768.11694336,1585.45874023,8,7,4,4,2,2,2,4,8,6,6,6,3,2,1,4
H,1646.12939453,1867.07128906,5,5,9,6,1,3,2,4,8,5,3,4,4,2,1,3
H,1673.18286133,1877.08898926,9,4,2,6,4,1,1,4,11,9,5,4,4,2,3,1
