result,home_elo,away_elo,home_recent_goals_scored_home,home_recent_goals_scored_away,home_recent_goals_conceded_home,home_recent_goals_conceded_away,home_recent_home_games_won,home_recent_home_games_lost,home_recent_away_games_won,home_recent_away_games_lost,away_recent_goals_scored_home,away_recent_goals_scored_away,away_recent_goals_conceded_home,away_recent_goals_conceded_away,away_recent_home_games_won,away_recent_home_games_lost,away_recent_away_games_won,away_recent_away_games_lost
A,1742.88757324,1751.96826172,10,7,10,11,1,3,0,6,11,5,8,3,3,3,2,2
D,1915.1159668,1963.26855469,16,6,4,3,6,0,2,2,12,7,1,3,5,0,3,2
H,1741.98376465,1552.59020996,9,5,7,6,4,2,0,4,3,0,5,17,1,3,0,6
D,1761.61608887,1863.6472168,8,7,5,4,3,2,3,2,10,7,4,2,1,4,4,1
H,1766.38989258,1617.18493652,4,9,4,8,1,3,3,3,6,3,6,6,2,3,1,4
H,1637.75878906,1689.42871094,9,3,11,4,1,5,0,4,7,7,7,16,4,2,0,4
D,1663.96203613,1733.23962402,6,4,6,14,1,3,1,5,11,7,12,10,1,4,0,5
A,1606.55371094,1945.39599609,5,4,4,11,2,3,0,5,7,6,0,6,2,2,3,3
D,1675.62988281,1675.1932373,7,5,5,4,2,3,2,3,6,3,5,9,1,4,0,5
A,1555.09472656,1679.7557373,3,0,5,18,1,3,0,6,8,5,4,4,2,3,2,3
H,1874.23168945,1654.3223877,10,5,4,1,1,4,3,2,10,3,11,4,1,5,0,4
A,1618.7668457,1751.78833008,4,4,4,9,2,2,1,5,10,5,5,6,5,1,0,4
D,1689.53894043,1669.95629883,6,3,5,8,1,4,0,5,7,4,7,13,1,4,1,4
D,1952.09973145,1786.77587891,7,6,0,5,2,2,3,3,7,6,5,7,2,3,2,3
H,1972.21630859,1768.55151367,12,8,1,4,5,0,3,2,8,5,5,3,3,3,2,2
H,1743.9050293,1609.06799316,10,8,9,11,1,3,0,6,4,4,6,11,1,4,0,5
A,1685.17431641,1915.7208252,6,8,5,19,4,1,0,5,16,6,5,3,5,1,2,2
H,1921.52209473,1602.30004883,16,8,5,3,5,1,3,1,1,4,6,15,0,4,0,6
H,1687.00720215,1975.65356445,6,2,5,5,1,5,0,4,14,8,1,3,6,0,3,1
A,1540.34033203,1946.19580078,3,0,10,14,1,4,0,5,8,5,1,4,2,3,3,2
H,1722.90856934,1679.3729248,9,3,2,11,5,0,0,5,6,8,8,19,3,2,0,5
A,1672.48803711,1758.29138184,7,2,7,12,1,4,0,5,10,7,5,7,5,1,1,3
A,1712.3236084,1877.43493652,11,5,8,9,4,1,0,5,11,5,3,1,2,3,3,2
D,1651.1192627,1765.11425781,9,3,9,6,1,4,0,5,7,5,4,5,3,2,2,3
D,1694.51013184,1750.67297363,8,9,4,4,2,3,2,3,10,8,9,11,1,3,0,6
A,1761.20874023,1768.74401855,7,6,4,6,3,2,2,3,8,10,4,7,4,1,2,3
A,1790.12341309,1913.15917969,6,14,4,7,3,1,3,3,17,8,5,3,5,1,3,1
H,1744.15441895,1702.0994873,6,6,8,6,2,3,2,3,11,3,11,7,4,2,0,4
H,1952.86523438,1693.8293457,7,7,1,4,1,3,4,2,8,9,4,4,2,3,2,3
D,1673.59765625,1659.10510254,6,9,8,18,3,2,0,5,5,2,8,12,1,4,0,5
D,1600.0736084,1727.91601562,1,3,6,16,0,4,0,6,11,3,3,10,6,0,0,4
H,1894.11352539,1693.23181152,11,6,3,1,2,3,3,2,4,2,5,5,1,5,0,4
A,1752.39367676,1603.68908691,10,9,9,11,1,3,0,6,5,2,7,8,2,3,0,5
H,1963.59924316,1652.09436035,13,8,1,4,5,0,3,2,11,2,11,4,1,5,0,4
D,1694.26416016,1919.63928223,10,4,11,10,3,2,0,5,14,10,4,4,4,1,4,1
H,1806.1505127,1652.59606934,13,5,5,6,3,2,1,4,8,2,8,6,1,4,0,5
H,1968.06396484,1535.14599609,14,8,1,4,5,0,3,2,2,0,10,9,1,4,0,5
H,1701.22912598,1619.26025391,11,4,12,9,3,3,0,4,5,5,7,8,2,3,1,4
H,1673.90148926,1901.91430664,7,9,6,18,3,2,0,5,9,6,3,1,2,3,3,2
A,1754.47302246,1694.37255859,9,6,9,6,3,3,2,2,8,6,4,5,2,3,1,4
H,1696.64782715,1604.41674805,3,2,3,9,1,4,0,5,2,3,7,15,0,5,0,5
H,1663.76782227,1917.64086914,3,3,8,13,0,4,0,6,14,8,4,4,4,1,3,2
H,1740.25170898,1728.53930664,12,6,12,8,1,4,0,5,11,4,3,10,6,0,0,4
D,1615.85290527,1692.62353516,4,6,7,10,1,3,1,5,10,8,7,16,4,2,0,4
A,1535.38037109,1678.02062988,1,1,10,13,0,4,0,6,5,3,9,10,1,4,0,5
A,1648.29077148,1707.53918457,8,1,8,8,1,4,0,5,10,4,12,9,3,3,0,4
H,1723.72937012,1706.00976562,10,5,3,12,5,0,0,5,7,2,4,8,2,4,0,4
A,1706.9864502,1813.35852051,5,7,4,5,1,3,2,4,16,5,4,6,4,1,1,4
H,1597.95751953,1744.76184082,1,4,6,19,0,4,0,6,9,6,9,6,3,3,2,2
H,1907.46789551,1953.9083252,9,9,4,6,3,1,3,3,10,7,1,2,3,2,4,1
A,1897.16625977,1969.75402832,9,7,3,4,2,3,3,2,18,7,2,4,6,0,2,2
H,1917.28637695,1760.44873047,10,8,4,6,4,1,2,3,13,6,10,7,2,3,1,4
D,1772.86462402,1734.42358398,6,11,9,3,2,3,3,2,14,2,5,9,6,0,0,4
H,1699.02600098,1618.19921875,6,4,3,12,2,3,0,5,5,6,8,10,1,4,1,4
D,1642.1217041,1614.35778809,5,1,6,8,1,4,0,5,6,3,9,17,1,4,0,5
A,1685.76782227,1699.23547363,3,4,7,10,1,3,1,5,5,6,6,2,1,4,2,3
A,1732.07189941,1947.80004883,9,7,9,10,3,3,1,3,10,7,1,1,3,2,4,1
H,1979.33483887,1830.78930664,16,8,2,4,5,0,3,2,16,7,4,4,4,1,2,3
D,1717.4185791,1531.34350586,10,4,12,6,3,3,1,3,1,1,11,8,0,5,0,5
H,1609.84155273,1676.45227051,5,6,7,13,1,3,1,5,4,4,9,8,1,4,1,4
D,1952.23254395,1770.10534668,10,8,1,1,3,1,5,1,6,11,10,3,1,4,3,2
A,1537.47436523,1898.72131348,0,3,10,10,0,4,0,6,13,6,5,4,3,3,2,2
H,1827.3963623,1707.38366699,14,8,4,6,3,1,2,4,9,3,3,11,3,3,0,4
H,1757.25866699,1639.64868164,9,7,6,9,2,2,1,5,6,1,7,8,1,5,0,4
D,1708.55102539,1698.84680176,5,8,5,3,1,3,3,3,10,5,7,10,4,2,0,4
H,1616.83093262,1711.28771973,6,4,8,18,1,3,0,6,9,4,12,6,2,4,1,3
D,1737.18286133,1727.6394043,11,3,4,10,5,0,0,5,7,7,9,10,2,4,1,3
D,1624.26611328,1631.99682617,8,5,7,11,2,3,1,4,6,2,5,13,1,4,0,5
H,1946.18286133,1702.50463867,14,7,5,1,3,2,4,1,6,4,11,7,1,4,1,4
A,1832.92504883,1918.19116211,16,6,4,3,4,1,2,3,7,8,3,6,3,1,2,4
H,1764.91040039,1700.86523438,14,5,7,7,3,2,1,4,9,6,7,11,3,2,0,5
H,1706.5324707,1986.62023926,6,8,6,2,1,4,3,2,14,11,3,4,5,0,3,2
A,1625.6138916,1776.15490723,7,4,8,14,2,3,0,5,5,15,6,7,1,3,3,3
A,1535.41906738,1729.71691895,1,3,12,9,0,5,0,5,3,9,7,12,1,4,1,4
D,1735.10534668,1900.7767334,10,3,5,10,4,1,0,5,11,8,3,5,3,2,3,2
H,1931.05322266,1719.91333008,7,11,3,6,3,1,3,3,5,8,6,2,1,4,3,2
H,1781.88562012,1771.77075195,5,16,6,7,1,3,4,2,20,4,11,4,4,2,1,3
A,1633.58972168,1948.28137207,6,3,5,14,1,3,0,6,16,5,6,1,4,2,3,1
H,1973.23925781,1622.67333984,14,8,3,5,5,0,2,3,9,5,8,10,2,4,1,3
A,1674.64624023,1820.06298828,4,4,7,8,1,3,2,4,16,6,6,3,4,1,2,3
H,1689.64941406,1530.68518066,9,4,2,14,3,2,0,5,2,3,14,9,0,6,0,4
D,1897.82922363,1619.88317871,11,6,3,4,3,2,2,3,8,4,8,14,2,3,0,5
A,1700.40625,1738.05285645,6,4,11,7,1,4,1,4,9,3,5,10,3,2,0,5
D,1934.55554199,1621.52404785,7,11,1,6,4,0,3,3,6,5,6,11,1,4,1,4
H,1787.9967041,1683.39160156,5,16,7,7,1,3,4,2,7,8,8,13,2,3,0,5
H,1950.96911621,1765.65979004,10,7,6,2,3,2,4,1,19,5,9,6,4,1,1,4
A,1527.45959473,1627.39440918,2,3,12,10,0,5,0,5,8,3,8,12,2,3,0,5
H,1828.30065918,1750.44104004,16,6,6,3,4,1,2,3,9,5,5,4,3,2,1,4
H,1974.3885498,1688.01806641,11,8,2,5,5,0,2,3,5,4,9,7,1,4,1,4
D,1666.40856934,1890.31799316,4,3,9,4,1,4,2,3,11,6,3,4,3,2,2,3
H,1716.41101074,1630.90197754,5,8,6,4,1,4,3,2,7,2,7,13,1,4,0,5
A,1692.875,1738.50878906,9,4,1,14,4,1,0,5,4,9,7,12,2,3,1,4
A,1629.43286133,1954.95385742,6,5,6,9,1,4,1,4,12,5,6,2,4,2,3,1
D,1746.97192383,1670.80383301,4,11,7,11,2,3,2,3,4,3,9,4,1,4,2,3
A,1626.24597168,1926.64660645,4,3,6,15,0,4,0,6,8,8,2,5,4,1,2,3
D,1683.98547363,1684.41186523,5,3,9,12,1,4,1,4,10,3,3,13,4,2,0,4
A,1677.53845215,1978.42114258,7,8,8,13,2,3,0,5,17,6,2,3,6,0,2,2
D,1745.53686523,1721.06713867,8,5,5,5,2,2,1,5,6,8,6,4,2,3,3,2
A,1634.35742188,1833.20483398,8,4,6,12,2,2,1,5,14,6,5,3,4,1,2,3
D,1885.92272949,1793.84985352,11,7,3,5,3,2,2,3,8,14,8,6,2,3,3,2
D,1797.99743652,1743.19116211,8,13,8,8,2,3,2,3,5,9,8,9,2,4,2,2
H,1931.51416016,1682.23034668,6,11,2,5,3,1,3,3,5,3,6,12,1,4,1,4
D,1686.16699219,1621.37841797,10,3,3,13,4,1,0,5,4,3,9,13,0,5,0,5
H,1674.58447266,1629.69177246,4,4,9,5,1,4,2,3,9,4,8,8,2,3,1,4
H,1957.58581543,1673.65075684,11,6,5,2,4,1,4,1,6,8,7,13,2,3,0,5
D,1517.55957031,1743.1036377,2,4,8,11,0,5,0,5,9,5,6,5,2,3,1,4
D,1837.8704834,1766.85778809,14,7,5,3,4,1,3,2,17,4,9,7,4,1,1,4
H,1723.50036621,1881.77502441,6,4,6,5,2,3,2,3,11,7,5,5,2,3,2,3
D,1617.59436035,1521.86401367,5,5,3,11,1,3,1,5,3,4,7,11,0,5,0,5
D,1746.4050293,1834.13000488,5,10,4,10,2,3,2,3,7,7,4,3,3,2,3,2
A,1738.79919434,1934.9732666,7,6,5,6,1,3,1,5,9,9,2,4,4,1,2,3
A,1672.0189209,1682.66381836,6,7,7,12,2,3,0,5,9,3,3,13,3,2,0,5
D,1770.5982666,1985.63085938,17,3,9,6,4,1,1,4,17,8,2,2,6,0,3,1
H,1624.25415039,1734.01293945,9,4,8,7,2,3,1,4,6,4,5,5,3,2,2,3
H,1624.8815918,1794.78356934,2,3,7,13,0,4,0,6,9,9,9,8,2,4,1,3
D,1678.77124023,1680.0222168,5,2,6,12,1,4,1,4,5,4,6,5,2,3,2,3
H,1784.22143555,1676.81640625,8,10,7,10,2,3,1,4,5,2,6,12,1,4,1,4
A,1526.22753906,1774.62414551,3,5,7,11,0,5,0,5,16,3,7,6,4,1,1,4
H,1833.52770996,1658.65551758,7,7,4,3,3,2,3,2,5,7,8,12,2,3,0,5
H,1681.97705078,1635.44384766,5,4,6,5,2,3,2,3,4,3,8,11,1,4,0,5
D,1724.86022949,1613.23071289,6,4,5,5,3,2,2,3,6,2,4,9,1,4,0,5
D,1955.6619873,1874.98327637,11,5,5,3,4,1,3,2,10,4,5,6,2,3,1,4
A,1981.60498047,1731.79040527,15,9,2,3,5,0,3,2,8,5,8,5,1,4,1,4
H,1941.98205566,1747.00732422,9,11,2,4,4,1,3,2,2,10,3,10,1,4,2,3
D,1628.98425293,1953.42822266,6,2,4,8,1,4,0,5,11,10,2,2,5,1,3,1
A,1641.1427002,1730.95776367,4,3,8,9,1,4,0,5,7,3,6,5,3,3,1,3
H,1902.2767334,1698.12939453,10,3,5,3,2,3,1,4,4,4,5,5,2,3,2,3
A,1680.9107666,1978.64001465,3,3,5,16,0,4,1,5,12,9,3,3,4,1,3,2
H,1635.53894043,1530.66247559,9,3,7,5,3,2,1,4,3,4,10,7,0,6,0,4
H,1754.25891113,1716.67102051,2,10,2,12,1,3,2,4,5,5,3,9,2,3,1,4
A,1666.80371094,1801.97827148,2,7,7,13,1,3,0,6,11,10,5,10,3,2,1,4
A,1757.7253418,1850.35913086,8,6,8,4,1,4,2,3,5,7,4,3,3,2,3,2
D,1947.12695312,1808.10253906,10,12,2,4,4,1,3,2,11,11,5,10,3,2,2,3
H,1635.28552246,1796.23144531,7,2,5,8,1,4,0,5,14,6,6,6,3,1,2,4
A,1633.78222656,1984.53735352,4,3,8,9,1,4,0,5,12,13,3,4,4,1,3,2
D,1747.20349121,1641.38598633,4,6,8,4,0,5,2,3,6,3,4,5,3,2,1,4
A,1695.60375977,1660.67956543,4,5,5,8,2,3,1,4,3,6,9,12,1,4,0,5
A,1675.01342773,1763.85778809,4,2,10,16,0,5,0,5,6,7,3,7,2,3,2,3
A,1738.3182373,1961.75317383,7,4,4,5,3,2,2,3,9,5,5,3,3,2,3,2
A,1707.07226562,1904.80236816,5,4,3,9,2,3,1,4,13,3,6,3,3,2,1,4
H,1916.72302246,1734.40661621,9,6,5,4,2,2,2,4,7,2,8,4,3,3,1,3
D,1770.01452637,1628.66674805,6,8,2,7,2,2,3,3,3,3,10,9,1,4,0,5
H,1916.16088867,1666.37792969,13,4,5,3,3,2,1,4,2,2,9,16,0,5,0,5
H,1670.10803223,1741.32202148,1,7,8,12,0,4,1,5,4,5,8,3,0,6,2,2
H,1766.02050781,1722.41467285,14,6,6,10,3,1,1,5,6,2,7,8,3,2,1,4
D,1644.78894043,1953.4519043,6,2,4,4,3,2,1,4,9,12,2,4,3,2,3,2
D,1814.89440918,1686.36987305,10,12,4,11,3,1,2,4,3,5,4,8,2,3,1,4
H,1978.72741699,1527.91809082,9,9,5,2,3,2,4,1,3,2,9,7,0,6,0,4
D,1953.35241699,1694.7935791,9,12,2,4,3,2,3,2,3,6,4,6,2,3,1,4
A,1529.7911377,1996.29382324,2,3,7,13,0,5,0,5,10,16,2,4,3,1,4,2
H,1934.11462402,1687.81445312,16,4,5,3,4,2,1,3,3,6,8,11,1,4,1,4
H,1717.78649902,1770.62072754,4,2,6,12,2,2,1,5,7,6,3,5,2,3,3,2
H,1639.93823242,1874.35388184,3,3,10,5,1,4,0,5,6,7,5,1,3,2,4,1
H,1735.49328613,1790.50036621,2,5,6,5,0,5,2,3,18,5,6,8,4,1,1,4
H,1656.76611328,1694.50952148,5,2,4,4,2,3,1,4,3,4,6,9,1,4,1,4
D,1652.72351074,1668.92053223,8,4,6,9,1,4,0,5,2,2,9,18,0,5,0,5
H,1997.45214844,1687.24902344,10,13,2,4,3,1,4,2,3,4,6,8,1,4,1,4
D,1782.79699707,1985.99560547,13,6,5,10,3,1,1,5,11,9,2,2,4,1,4,1
H,1762.93139648,1664.02661133,7,5,3,6,2,3,2,3,5,2,2,4,3,2,1,4
D,1685.32226562,1743.19665527,3,3,6,7,1,4,1,4,4,5,7,5,1,4,2,3
D,1862.23278809,1725.47595215,5,7,1,2,3,1,4,2,6,2,7,10,3,2,1,4
H,1702.17297363,1528.63293457,3,6,4,7,2,3,0,5,1,3,6,13,0,5,0,5
H,1670.51904297,1652.05932617,2,2,9,17,0,5,0,5,4,2,10,4,2,4,0,4
H,1685.88818359,1651.125,3,3,8,7,1,4,1,4,8,4,6,9,1,4,0,5
H,1982.37866211,1945.97302246,9,13,1,6,3,1,4,2,10,8,3,3,3,3,2,2
H,1999.37902832,1936.04089355,12,12,2,2,4,1,4,1,17,4,5,3,5,1,1,3
H,1645.6895752,1743.59936523,8,5,6,10,1,4,0,5,4,3,7,5,1,4,1,4
A,1684.91955566,1940.38305664,2,3,6,7,0,5,1,4,8,9,3,5,2,3,2,3
D,1525.76367188,1643.81262207,1,3,6,13,0,5,0,5,3,2,8,6,2,3,0,5
H,2007.99475098,1789.90563965,14,12,2,2,4,1,4,1,9,6,5,8,2,3,1,4
D,1691.3236084,1768.80737305,5,3,7,7,2,3,1,4,9,5,4,6,2,3,2,3
H,1987.96862793,1705.04211426,11,11,2,5,4,1,3,2,4,6,2,7,3,2,0,5
H,1927.42504883,1856.85888672,17,3,5,5,5,1,1,3,6,5,2,2,3,2,3,2
A,1795.66833496,1678.76574707,13,5,5,8,3,2,1,4,4,2,7,17,1,4,0,5
D,1941.26342773,1936.5333252,7,12,2,7,2,2,3,3,16,3,3,5,6,0,1,3
H,1786.20935059,1681.83666992,6,6,4,12,1,3,1,5,3,3,7,7,0,5,1,4
D,1769.40856934,1774.40637207,9,3,4,5,2,3,1,4,14,5,9,6,3,3,1,3
A,1731.82080078,1985.43640137,4,4,7,7,1,4,1,4,10,11,2,5,4,1,3,2
H,1701.50256348,1692.1973877,4,6,7,12,1,4,1,4,5,2,7,4,2,4,1,3
H,1653.98083496,1658.94299316,5,1,2,8,3,2,0,5,11,4,7,9,2,4,0,4
H,1852.90270996,1527.79760742,5,5,2,3,2,2,3,3,3,3,7,13,0,5,0,5
D,1704.21044922,2020.34777832,3,6,1,8,3,1,0,6,12,12,2,2,4,1,4,1
D,1652.57189941,1856.78649902,11,4,6,11,2,3,0,5,6,3,2,2,3,2,2,3
H,1676.62548828,1717.90112305,3,3,7,11,0,5,1,4,3,3,7,12,1,3,1,5
A,1529.26879883,1796.7755127,3,2,7,11,0,5,0,5,10,4,4,10,2,3,1,4
A,1684.64233398,1632.70080566,5,2,5,7,2,3,1,4,4,3,8,6,2,3,0,5
D,1779.11096191,1712.81433105,12,6,9,7,2,3,1,4,5,5,3,7,3,2,0,5
H,1953.76342773,1770.05895996,16,4,3,5,6,0,1,3,9,3,4,5,2,3,1,4
H,2018.29846191,1929.3885498,12,12,2,4,4,1,3,2,8,9,3,7,2,3,2,3
D,2001.32104492,1665.70690918,10,12,2,5,4,1,3,2,6,1,0,8,4,1,0,5
A,1853.23999023,1993.07043457,6,4,2,3,3,1,2,4,10,12,3,5,3,2,3,2
H,1924.98352051,1668.67199707,5,10,3,9,1,3,2,4,5,2,7,6,2,4,1,3
D,1766.19775391,2022.70349121,9,3,4,7,2,3,1,4,12,12,3,4,4,1,3,2
A,1648.67126465,1957.62463379,4,5,8,6,2,3,1,4,16,4,4,5,6,0,1,3
A,1716.68066406,1683.81542969,4,6,3,8,2,2,0,6,4,3,7,11,1,4,1,4
H,1710.71118164,1520.52062988,3,3,7,12,1,3,1,5,2,2,12,11,0,5,0,5
D,1673.95751953,1775.24462891,6,2,0,8,4,1,0,5,13,6,10,7,2,4,1,3
H,1805.52380371,1656.1184082,9,10,3,10,2,2,2,4,12,4,7,9,2,4,0,4
D,1649.76831055,1958.74475098,11,5,6,14,2,3,0,5,16,6,4,5,6,0,2,2
H,2002.70507812,2018.49780273,10,12,3,4,3,2,4,1,12,12,3,4,4,1,3,2
A,1749.74023438,1644.85461426,5,5,6,7,2,3,2,3,2,5,9,6,1,4,1,4
D,1774.4888916,1694.76806641,12,7,9,8,2,3,1,4,4,2,7,11,1,4,1,4
D,1713.54772949,1726.82568359,4,3,7,12,2,2,1,5,8,6,6,9,3,2,1,4
D,1675.05114746,1666.27148438,6,2,1,8,3,2,0,5,5,2,5,8,2,3,1,4
D,1846.97790527,1812.21179199,6,4,3,3,3,2,2,3,14,9,4,8,3,2,2,3
A,1518.02209473,1927.72192383,2,2,12,12,0,5,0,5,7,7,3,8,2,3,1,4
A,1817.06884766,1674.74035645,10,11,3,10,2,2,2,4,6,2,1,6,3,3,0,4
H,1783.72570801,1516.69482422,10,4,5,5,2,3,2,3,4,2,15,12,0,5,0,5
H,1659.34606934,1657.65014648,2,8,9,7,1,4,2,3,13,4,8,13,2,4,0,4
H,2019.71044922,1713.84814453,11,13,1,6,4,0,3,3,6,2,9,12,2,3,0,5
A,1670.40344238,1772.34545898,5,2,5,7,2,3,1,4,13,4,10,8,2,4,0,4
H,1932.87036133,1845.9420166,5,13,3,10,1,3,2,4,7,4,5,3,2,3,2,3
H,1948.3729248,1739.07006836,13,8,2,7,5,0,2,3,7,3,9,6,2,4,1,3
A,1730.34631348,2017.85412598,8,7,6,7,3,2,1,4,12,12,4,4,4,1,4,1
H,1648.71276855,1786.18615723,11,4,6,15,2,3,0,5,9,4,5,5,2,3,2,3
D,2022.53088379,1709.05395508,12,10,4,4,4,1,4,1,6,2,6,8,2,3,1,4
A,1514.234375,1663.43701172,4,3,15,13,0,5,0,5,4,2,4,7,2,3,1,4
H,1841.46105957,1725.66955566,7,2,5,4,2,3,1,4,7,7,3,7,3,2,1,4
H,1712.85009766,1736.67053223,5,5,4,7,2,3,0,5,7,3,7,7,2,3,1,4
A,1779.31188965,1950.77246094,13,4,10,4,2,4,1,3,14,5,2,6,6,0,1,3
D,1711.39904785,1798.40039062,6,3,5,16,2,2,0,6,10,9,5,9,2,3,1,4
A,1693.40881348,2022.1595459,4,4,1,6,2,3,1,4,15,8,2,5,5,0,2,3
H,1938.95605469,1624.10095215,5,12,2,8,2,2,3,3,1,5,5,11,0,4,0,6
A,1843.24658203,1765.71533203,7,2,5,4,2,3,1,4,9,4,5,9,2,3,1,4
H,1727.61120605,1768.01330566,13,5,4,7,3,2,0,5,9,4,12,4,1,5,1,3
H,1708.14440918,1685.97253418,8,3,7,12,2,3,0,5,4,4,3,6,2,4,1,3
H,1794.37976074,1702.54919434,10,10,5,10,2,3,1,4,7,4,7,15,2,2,1,5
D,2021.95739746,1716.57531738,15,7,2,5,5,0,2,3,7,8,2,10,3,1,1,5
D,1777.6920166,1616.10620117,8,7,4,11,2,2,2,4,2,0,1,0,1,0,0,0
H,1669.1003418,1940.21398926,4,9,5,8,2,2,3,3,6,12,2,8,3,2,3,2
H,1956.66821289,1734.63598633,7,8,2,6,4,0,3,3,15,4,5,6,4,2,0,4
H,1724.56713867,1718.95812988,7,9,2,8,3,1,1,5,8,3,4,8,3,2,1,4
H,1595.9642334,1800.26086426,0,1,0,3,0,0,0,1,13,10,6,10,3,2,1,4
A,1622.84301758,1831.27001953,1,4,5,11,0,4,0,6,9,1,8,4,2,4,0,4
H,1696.66796875,1713.93664551,7,6,7,17,2,2,1,5,10,3,8,8,3,3,0,4
A,1680.18017578,2014.87255859,4,5,3,8,2,3,1,4,11,9,4,4,4,2,3,1
H,1931.45373535,1733.48132324,5,12,1,9,3,1,3,3,8,8,2,7,4,1,1,4
D,1715.63464355,1620.90393066,8,3,4,7,3,2,1,4,1,4,5,11,0,4,0,6
A,1624.83496094,1680.33215332,2,1,1,1,1,0,0,1,3,5,4,8,1,4,1,4
H,1735.27648926,1609.88842773,15,4,5,7,4,2,0,4,3,1,2,3,1,0,0,1
H,1705.07666016,1774.55383301,8,3,7,11,2,3,0,5,9,6,5,9,2,3,2,3
D,1791.92333984,1964.13964844,13,12,6,11,3,2,1,4,7,8,2,6,4,0,3,3
D,2020.31115723,1751.3873291,11,6,4,0,4,2,4,0,6,4,10,4,1,5,1,3
A,1760.51672363,1935.7487793,6,7,4,13,1,3,2,4,8,11,1,7,4,1,3,2
H,1684.72229004,1711.13134766,4,9,5,8,2,2,3,3,8,3,4,7,3,2,1,4
H,1961.38781738,2020.48291016,7,8,2,3,4,0,3,3,14,7,3,5,4,1,2,3
A,1731.72509766,2012.74938965,8,9,6,17,2,2,2,4,10,6,4,0,3,3,4,0
A,1729.1862793,1605.40795898,6,8,2,10,3,1,1,5,2,1,6,1,1,1,0,1
H,1625.40710449,1719.11376953,1,3,5,9,0,4,0,6,12,2,8,10,3,3,0,4
A,1606.31933594,1817.47668457,3,2,2,5,1,0,0,2,8,3,10,4,2,4,1,3
A,1758.94921875,1794.67504883,4,5,10,5,0,5,1,4,13,12,5,11,3,2,1,4
H,1749.60144043,1691.60864258,6,7,8,13,1,4,2,3,6,9,6,6,3,2,3,2
A,1704.11975098,1942.2109375,6,4,1,9,3,1,1,5,8,12,1,5,4,1,3,2
D,1974.19262695,1601.55993652,8,8,3,3,4,0,3,3,5,2,5,5,1,1,0,2
H,1710.50109863,1716.23217773,12,3,8,11,3,3,0,4,7,4,4,9,3,2,0,5
D,2020.29272461,2007.0267334,9,9,4,1,2,3,5,0,11,8,3,7,3,1,2,4
D,1618.23669434,1815.31811523,2,3,6,2,1,1,1,1,8,6,10,5,2,4,2,2
D,1750.02026367,1696.56555176,4,5,8,5,0,5,1,4,4,9,5,3,1,5,2,2
A,1633.89453125,1805.11560059,4,3,5,9,1,3,0,6,13,14,5,8,3,2,2,3
A,1948.02124023,1621.71179199,7,15,0,6,4,0,4,2,4,3,8,2,1,2,1,1
A,1811.84313965,1965.63293457,7,8,10,7,1,4,2,3,8,7,3,2,4,1,3,2
A,1686.65014648,1719.67700195,6,7,6,5,3,2,3,2,15,3,8,11,4,2,0,4
H,2009.40844727,1698.30957031,7,9,3,8,2,1,2,5,7,4,4,5,3,2,1,4
A,1721.71130371,1628.59924316,14,5,4,10,4,1,0,5,5,3,7,9,1,4,0,5
A,1707.05627441,1754.55981445,4,5,4,12,2,2,0,6,6,7,7,13,2,3,2,3
A,1610.11962891,2017.91101074,5,2,5,5,1,1,0,3,10,7,5,1,2,4,4,0
H,1700.00439453,1748.78540039,2,9,5,3,0,5,2,3,15,8,7,14,3,2,2,3
A,1761.6315918,2011.90734863,6,8,7,11,2,3,3,2,9,7,3,6,3,1,2,4
H,1639.11206055,1676.03747559,5,3,7,6,1,4,1,4,6,7,5,5,3,2,3,2
A,1706.09558105,1707.95581055,4,8,6,2,1,5,2,2,14,4,5,9,4,2,0,4
H,2011.03405762,1811.828125,9,9,4,1,2,3,5,0,11,10,6,9,3,2,2,3
D,1788.63269043,1696.74194336,7,7,12,6,1,5,2,2,5,5,6,12,2,3,0,5
A,1740.27099609,1974.23400879,15,7,7,15,3,2,1,4,5,9,2,2,3,1,4,2
A,1740.2479248,1635.60693359,3,4,7,6,0,5,1,4,4,5,8,3,1,2,2,1
A,1727.04711914,1694.74902344,15,5,8,11,4,2,1,3,6,4,4,7,2,2,1,5
H,1932.27905273,1784.23779297,6,15,2,5,3,1,4,2,9,7,13,6,1,5,2,2
D,1710.0670166,1756.30432129,6,6,4,8,2,2,1,5,5,8,8,11,2,3,3,2
H,1978.41259766,1696.22680664,5,10,2,4,3,1,4,2,3,8,6,2,1,5,2,2
H,2017.23461914,1646.28198242,7,9,2,6,2,1,3,4,6,3,7,6,2,3,1,4
A,1717.82458496,2014.56494141,14,5,4,9,4,1,1,4,11,8,4,1,3,3,4,0
H,1648.03930664,1711.72912598,4,6,8,3,1,2,3,1,14,5,10,11,3,3,1,3
H,1603.13317871,1727.81555176,5,3,7,7,1,2,0,4,3,3,8,5,0,6,1,3
D,1701.13671875,1736.09240723,3,7,6,14,1,3,0,6,14,7,9,15,2,3,1,4
D,1751.96044922,1705.90478516,5,7,8,11,2,3,2,3,14,3,9,6,4,2,1,3
D,1774.58520508,2015.63781738,7,8,11,9,1,4,2,3,11,8,2,5,3,1,3,3
A,1639.37805176,1650.96435547,6,3,7,7,2,3,1,4,5,6,8,3,2,2,3,1
A,2018.37536621,1973.93334961,9,13,3,1,2,3,5,0,8,8,4,2,4,1,4,1
